CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
35085040,CO,Vivero El,Miraflores,Boyaca,1640,"73°8'41.2""W","5°11'33.2""N",84,81,84,87,89,91,92,91,88,88,88,86,88
24015020,CO,Bertha,Moniquira,Boyaca,1700,"73°36'0.0""W","5°53'0.0""N",74,74,74,78,80,77,75,74,76,79,79,77,77
24035150,CP,Belencito,Nobsa,Boyaca,2530,"72°53'26.7""W","5°46'43.3""N",71,70,73,76,77,76,76,75,75,77,78,75,75
35075010,AM,Nuevo Colon,Nuevo Colon,Boyaca,2438,"73°27'23.4""W","5°21'13.7""N",79,79,79,82,85,87,88,88,85,84,83,81,83
23125080,CO,Otanche,Otanche,Boyaca,1070,"74°11'4.4""W","5°39'42.0""N",89,89,89,89,89,88,87,87,88,89,89,90,88
24035170,AM,Tunguavita,Paipa,Boyaca,2470,"73°6'58.9""W","5°44'45.3""N",72,72,74,77,79,78,76,76,77,79,79,76,76
35195050,CO,Corinto,Pajarito,Boyaca,1550,"72°43'2.0""W","5°24'26.2""N",86,85,86,90,91,92,92,91,90,89,90,88,89
23115010,CO,Pto Boyaca,Puerto Boyaca,Boyaca,350,"74°34'0.0""W","5°58'42.0""N",76,75,78,80,79,78,75,74,78,81,82,79,78
23125140,CO,Apto Furatena,Quipama,Boyaca,1250,"74°10'56.7""W","5°31'15.0""N",84,85,86,87,87,85,83,82,84,85,86,86,85
35075030,CO,Villa Luisa,Ramiriqui,Boyaca,2200,"73°20'57.9""W","5°25'20.0""N",78,76,77,80,82,84,85,85,82,81,82,80,81
35085020,CO,Rondon,Rondon,Boyaca,2120,"73°12'13.0""W","5°21'30.3""N",83,84,84,87,88,91,91,90,87,86,87,86,87
24015220,CP,Villa Carmen,Samaca,Boyaca,2600,"73°29'44.8""W","5°30'42.1""N",77,78,79,81,81,81,82,82,81,80,81,80,80
24015090,CO,Inst Agr Sta Sofia,Santa Sofia,Boyaca,2300,"73°36'8.2""W","5°42'38.4""N",73,73,74,76,75,74,73,72,72,75,77,76,74
24035320,CO,Sativanorte,Sativanorte,Boyaca,2594,"72°42'17.0""W","6°7'59.4""N",64,65,67,70,70,68,66,66,67,69,70,67,68
35235010,CO,Cardon El,Socota,Boyaca,3590,"72°31'45.4""W","6°0'42.0""N",87,87,90,95,96,97,97,97,96,94,93,89,93
24035340,CP,Apto A Lleras C,Sogamoso,Boyaca,2500,"72°58'4.5""W","5°40'37.0""N",72,72,74,77,78,77,77,77,77,77,77,74,76
35075020,CP,Sutatenza,Sutatenza,Boyaca,1930,"73°26'57.0""W","5°1'20.2""N",76,76,77,79,81,82,83,82,80,78,78,77,79
24035040,CO,Copa La,Toca,Boyaca,2700,"73°12'28.6""W","5°34'46.0""N",78,77,78,80,81,81,81,81,80,81,80,80,80
24035130,CP,U P T C,Tunja,Boyaca,2690,"73°21'19.0""W","5°33'12.8""N",75,75,76,80,82,83,83,82,79,79,80,78,79
24015300,CP,Villa de Leiva,Villa de Leyva,Boyaca,2215,"73°32'38.2""W","5°39'21.0""N",75,74,76,77,77,75,73,71,72,77,79,77,75
26185010,CO,Pelada La,Aguadas,Caldas,2180,"75°20'41.2""W","5°34'43.5""N",79,79,81,83,84,83,78,77,81,84,86,83,82
26145020,CO,Bellavista,Anserma,Caldas,1932,"75°48'0.0""W","5°16'33.3""N",87,86,87,88,88,87,85,85,87,87,88,88,87
26155110,SP,Apto La Nubia,Manizales,Caldas,2058,"75°28'11.8""W","5°1'47.1""N",83,81,83,84,84,84,81,81,84,86,86,84,83
26185040,CO,San Felix,Salamina,Caldas,2696,"75°22'30.5""W","5°22'21.5""N",85,85,86,87,87,85,83,82,84,86,87,87,85
23055040,CO,Samana,Samana,Caldas,1475,"74°59'34.0""W","5°25'6.0""N",93,92,93,92,92,90,86,85,89,92,94,94,91
26175070,CO,Rafael Escobar,Supia,Caldas,1320,"75°39'0.0""W","5°28'0.0""N",74,72,72,77,77,76,73,72,71,78,79,77,75
26155150,CP,Brisas Las,Villamaria,Caldas,4150,"75°21'0.0""W","4°54'5.3""N",89,92,92,94,93,92,91,91,92,93,92,90,92
